CustomerID,CustomerName,Email,Country,Age,PurchaseAmount,OrderDate
2409,,,Uganda,37,2533,
2135,Mike,mary@yahoo.com,Kenya,62,41623,2024-05-12
2635,John,,Tanzania,150,18531,2025-02-20
2647,Mary,,Tanzania,22,1406,
1950,Jane,invalid_email,Kenya,-5,22059,
2103,Mike,john@gmail.com,,-5,40497,
1697,,,,49,14641,2024-05-12
1111,,,Rwanda,23,38760,2024-05-12
1000,,mary@yahoo.com,,47,23583,
1640,Jane,invalid_email,,43,15807,2024-01-01
1218,John,invalid_email,Rwanda,54,3727,
2588,John,john@gmail.com,,30,24376,2024-01-01
1853,,mary@yahoo.com,Tanzania,46,43101,2024-01-01
2758,Mary,john@gmail.com,Kenya,22,42630,
2247,,,,42,43041,2025-02-20
1383,Alice,,Rwanda,30,49084,2025-02-20
2425,John,john@gmail.com,Tanzania,41,48133,2025-02-20
2660,Mike,,,48,3848,2024-05-12
2152,Alice,mary@yahoo.com,Uganda,37,39199,
2075,,,Tanzania,150,13517,2024-05-12
2706,,mary@yahoo.com,,25,37165,
1728,Peter,,Tanzania,26,24376,
2694,Jane,,Kenya,38,28121,
2732,Alice,,Kenya,68,27990,
2438,Jane,mary@yahoo.com,Kenya,37,49180,2025-02-20
1245,,mary@yahoo.com,,32,22059,2024-05-12
1834,Alice,john@gmail.com,Uganda,43,47291,2024-05-12
2461,,mary@yahoo.com,Kenya,-5,49025,
1201,Peter,john@gmail.com,Uganda,59,45251,
2206,John,invalid_email,Kenya,28,29420,2025-02-20
1121,,invalid_email,,54,48133,2024-01-01
1399,Peter,invalid_email,Tanzania,58,49316,2024-01-01
1765,,mary@yahoo.com,,28,6365,
1292,John,mary@yahoo.com,,44,26039,2025-02-20
1278,,john@gmail.com,Kenya,47,37919,2024-01-01
2859,John,,,36,,2024-01-01
1882,,john@gmail.com,Kenya,51,5775,2024-05-12
2632,,invalid_email,Kenya,55,9368,2025-02-20
1196,Jane,john@gmail.com,Rwanda,40,21877,2024-01-01
1980,Mike,,Rwanda,,44832,2024-05-12
2929,Peter,mary@yahoo.com,Rwanda,18,17668,2025-02-20
2533,Alice,john@gmail.com,Uganda,20,18531,
1750,,invalid_email,Rwanda,20,49025,2025-02-20
1142,Peter,invalid_email,Kenya,45,8094,
1607,Jane,mary@yahoo.com,,31,5358,2024-05-12
2223,John,john@gmail.com,,69,8892,
2146,Jane,,Tanzania,47,6496,2024-05-12
1185,Mary,mary@yahoo.com,Rwanda,-5,5630,2024-05-12
2348,Mary,john@gmail.com,,22,8533,2024-01-01
1462,Alice,,Rwanda,66,41190,2025-02-20
2371,Jane,invalid_email,Tanzania,32,41623,2024-05-12
2793,,,,55,40394,2024-05-12
1658,Alice,,Kenya,31,40076,
1762,,,Uganda,31,8094,
1953,Alice,invalid_email,Rwanda,66,2533,
2954,Mary,john@gmail.com,,25,23699,2024-05-12
1401,Alice,mary@yahoo.com,,25,46799,
2368,Mary,john@gmail.com,Tanzania,36,6876,2025-02-20
2985,,mary@yahoo.com,Kenya,49,13167,2024-05-12
2533,John,,,48,47291,2024-01-01
1145,,john@gmail.com,,46,14139,
2170,Jane,,Uganda,58,3990,
1862,,,Tanzania,28,8892,2025-02-20
2733,,,,62,40076,
2842,Alice,,,30,37165,2025-02-20
1487,Mary,mary@yahoo.com,Tanzania,44,9574,
1927,Peter,,Tanzania,36,39052,2025-02-20
2958,,,Rwanda,43,2712,
2662,,,,,23583,
1549,Alice,,,68,39453,
1336,Mike,,Uganda,54,21343,
1870,John,john@gmail.com,Kenya,65,26631,2025-02-20
1639,John,mary@yahoo.com,Kenya,26,41190,2025-02-20
2801,Peter,,,45,43041,2024-05-12
2975,Mary,,Tanzania,49,16123,
1471,Alice,invalid_email,Tanzania,69,23997,2024-05-12
2968,,,Tanzania,-5,14641,2024-05-12
1149,Mary,mary@yahoo.com,,20,30180,2024-01-01
2437,John,,Tanzania,68,23699,2025-02-20
2320,Mary,,Tanzania,49,14641,2024-01-01
2633,John,,,22,9574,2024-01-01
1261,Mary,,,25,28121,2024-05-12
2786,Peter,invalid_email,,31,37294,2024-01-01
1142,Jane,,Rwanda,20,39604,2025-02-20
1344,Peter,,,41,763,2024-05-12
1622,Peter,john@gmail.com,Uganda,30,45553,2025-02-20
2015,Jane,,Tanzania,60,32068,
2594,Jane,,Rwanda,46,35322,2024-01-01
